district_id,district_name,state_name,health_subscore,education_subscore,priority_index,priority_tier,dominant_driver,institutional_births_pct,full_immunization_pct,household_sanitation_pct,health_insurance_pct,overall_literacy,pct_schools_electricity,pct_schools_water,pct_schools_road_connected,stunted_pct,wasted_pct,underweight_pct,child_anaemia_pct,dropout_rate_pct,true_pupil_teacher_ratio,literacy_gender_gap,dropout_gender_gap,toilet_gender_gap,pct_sc_population,pct_st_population,primary_pupil_teacher_ratio,predicted_tier,prediction_correct
104,SITAMARHI,BIHAR,22.067387687188017,28.618968386023294,25.343178036605657,Low,Education-driven,64.40,66.60,50.70,20.70,53.53,27.70,97.00,80.00,54.20,16.20,40.80,70.00,0.55,64.05,19.16,-0.17,43,11.85,0.09,1857.00,Low,true
88,MADHEPURA,BIHAR,18.55241264559068,26.89961175818081,22.726012201885744,Low,Education-driven,75.00,72.00,34.60,9.50,53.78,32.50,97.30,92.10,46.30,20.60,43.50,67.70,1.31,63.19,21.07,-0.35,119,17.30,0.63,1102.00,Low,true
103,SHEOHAR,BIHAR,18.69800332778702,22.795341098169718,20.746672212978368,Low,Both equally,74.30,62.90,57.90,18.10,56.00,32.30,88.80,87.10,34.40,35.40,42.20,73.10,1.15,62.07,16.47,-0.45,-9,14.73,0.05,379.00,Low,true
96,PURBA CHAMPARAN,BIHAR,26.247920133111485,28.53577371048253,27.391846921797008,Low,Both equally,61.50,68.30,48.30,19.40,58.26,22.80,87.00,90.60,49.10,16.80,37.90,61.00,0.53,60.04,20.66,-0.18,-34,12.74,0.24,2677.00,Low,true
85,KHAGARIA,BIHAR,26.455906821963396,24.847476428175266,25.651691625069333,Low,Both equally,74.20,64.70,65.00,15.60,60.87,31.90,95.80,69.80,34.80,25.30,36.40,67.10,0.92,59.12,16.35,-0.65,2,14.83,0.04,852.00,Low,true
97,PURNIA,BIHAR,13.103161397670547,27.565169162506933,20.33416528008874,Low,Education-driven,68.90,62.70,35.60,10.20,52.49,36.20,97.10,83.30,43.50,25.80,47.10,68.00,0.95,58.74,17.90,-0.26,-12,11.98,4.27,2029.00,Low,true
648,LUCKNOW,UTTAR PRADESH,55.802828618968384,56.9883527454243,56.39559068219634,Medium,Both equally,91.30,68.90,80.40,15.80,79.33,59.90,99.40,96.10,32.10,11.50,25.50,52.90,0.39,57.74,10.39,-0.04,86,20.66,0.16,2091.00,Medium,true
94,PASHCHIM CHAMPARAN,BIHAR,33.277870216306155,33.361064891846915,33.31946755407654,Low,Both equally,79.50,62.10,43.30,20.00,58.06,33.30,94.20,92.90,43.50,13.20,30.30,61.60,0.71,57.39,21.37,-0.20,-4,14.08,6.35,2265.00,Low,true
79,GAYA,BIHAR,17.803660565723796,26.76095396561287,22.282307265668333,Low,Education-driven,76.60,85.00,44.40,9.70,66.35,29.90,94.10,71.90,47.40,24.30,43.50,76.70,0.85,57.29,20.12,-0.22,196,30.39,0.07,2507.00,Low,true
73,BANKA,BIHAR,18.01164725457571,18.275097060454797,18.143372157515252,Low,Both equally,79.80,88.10,38.20,13.60,60.12,23.90,91.40,77.70,46.70,26.90,45.80,77.80,1.23,54.51,20.36,-0.33,41,12.18,4.44,1588.00,Low,true
89,MADHUBANI,BIHAR,26.03993344425957,33.86023294509152,29.950083194675543,Low,Education-driven,73.70,74.10,38.20,19.20,60.90,31.70,95.00,90.60,43.30,17.10,36.00,71.00,0.56,54.35,24.23,-0.16,1,13.09,0.09,2283.00,Low,true
